TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
13-8 Ma	Amiantis callosa stalderi (Clark)	Amiantis stalderi (Clark)	Species, 34.4N-24.8N
13-8 Ma	Amiantis callosa stalderi (Clark)	Amiantis callosa (Conrad) var. stalderi (Clark)	Species, 34.4N-24.8N
			
13-8 Ma	Amiantis callosa stalderi (Clark)	Pitaria stalderi Clark	Species, 34.4N-24.8N
13-5 Ma	Amiantis communis Nomland	Amiantis communis Nomland	Genus, 35N-23N; below low-tide line along sandy
			beaches, to 20 m
27? or 23-13 Ma	Amiantis diabloensis (Anderson)	Pitar diabloensis (Anderson)	Genus, 35N-23N
			
27? or 23-13 Ma	Amiantis diabloensis (Anderson)	Antigona diabloensis (Anderson)	Genus, 35N-23N
			
27? or 23-13 Ma	Amiantis diabloensis (Anderson)	Callista (Amiantis) diabloensis Anderson	Genus, 35N-23N
			
27? or 23-13 Ma	Amiantis diabloensis (Anderson)	Amiantis diabloensis (Anderson)	Genus, 35N-23N
			
27? or 23-13 Ma	Amiantis diabloensis (Anderson)	Cytherea diabloensis Anderson	Genus, 35N-23N
			
23-13 Ma	Amiantis mathewsonii (Gabb)	Amiantis mathewsonii (Gabb)	Genus, 35N-23N
23-13 Ma	Amiantis mathewsonii (Gabb)	Chione mathewsonii Gabb	Genus, 35N-23N
N.D.	Amiantis sp.	Amiantis sp.	Genus, 35N-23N
N.D.	Amiantis sp.?	Cytherea sp. A.	Genus, 35N-23N
17-13 Ma	Amiantis? cf. A. loeli Wiedey	Amiantis (?) cf. A. loeli Wiedey	Genus, 35N-23N; intertidal to 18 m, in sand of
			exposed beaches
5 Ma-H	Amnicola longinqua Gould (see Taylor, 1966, p. 3,051)	Amnicola longinqua Gould	Freshwater
			
N.D.	Amnicola sp.	Amnicola? sp.	Freshwater
5? Ma-H	Amphissa cf. A. versicolor Dall	Amphissa cf. A. versicolor Dall	44N-28N
8 Ma-H	Amphissa reticulata Dall	Amphissa reticulata Dall	58N-33N
N.D.	Amphissa sp.	Amphissa sp.	Genus, 58N-28N; intertidal to 641 m
13-5 Ma	Amphiura sanctaecrucis Arnold	Amphiura sanctaecrucis Arnold (Echinodermata)	Distribution data unreliable
23-13 Ma	Amusium lompocensis (Arnold) 23-13 Ma	Pecten (Amusium) lompocensis Arnold	Genus not living in eastern Pacific Ocean; Caribbean;
			55 to 1481 m
23-13 Ma	Amusium lompocensis (Arnold) 23-13 Ma	Amusium lompocensis (Arnold)	Genus not living in eastern Pacific Ocean; 30N-15N
			Caribbean
23-13 Ma	Amusium lompocensis (Arnold) 23-13 Ma	Amusium lompocensis (Arnold)	Genus not living in eastern Pacific Ocean; 30N-15N
			Caribbean
23-13 Ma	Amusium lompocensis (Arnold) 23-13 Ma	Pecten (Pseudamusium) lompocensis Arnold	Genus not living in eastern Pacific Ocean; 30N-15N
			Caribbean
23-13 Ma	Amusium lompocensis (Arnold) 23-13 Ma	Pecten (Amussiopecten) lompocensis Arnold	Genus not living in eastern Pacific Ocean; 30N-15N
			Caribbean
23-13 Ma	Amusium lompocensis (Arnold) 23-13 Ma	Pecten (Pseudamusium) lompocensis Arnold	Genus not living in eastern Pacific Ocean; 30N-15N
			Caribbean
27-13 Ma	Amussiopecten vanvlecki (Arnold) 27-13 Ma	Amussiopecten vanvlecki (Arnold)	Genus not living
27-13 Ma	Amussiopecten vanvlecki (Arnold) 27-13 Ma	Pecten (Pecten) vanvlecki Arnold	Genus not living
27-13 Ma	Amussiopecten vanvlecki (Arnold) 27-13 Ma	Pecten vanvlecki Arnold	Genus not living
N.D.	Anachis (Costoanachis) sp.	Anachis (Costoanachis) sp.	Subgenus, 25N-5S, in Gulf of California; genus,
			intertidal, under rocks
17-13 Ma	Anachis (Costoanachis) watsonae Keen	Anachis watsonae Keen	Subgenus, 25N-5S, in Gulf of California
13 Ma-H	Anadara (Anadara) concinna (Sowerby)	Anadara (Anadara) concinna (Sowerby)	29N in Gulf of California-3S; genus, 9 to 90 m, sand
			or mud substrate
23-13 Ma or 8? Ma	Anadara (Anadara) devincta (Conrad)	Anadara devincta (Conrad)	Subgenus, 29N-5S, through Gulf of California; genus,
			9 to 112 m
23-13 Ma or 8? Ma	Anadara (Anadara) devincta (Conrad)	Arca (Anadara) devincta Conrad	Subgenus, 29N-5S, through Gulf of California; sand,
			mud, or mangroves
23-13 Ma or 8? Ma	Anadara (Anadara) devincta (Conrad)	Anadara (Anadara) devincta (Conrad)	Subgenus, 29N-5S, through Gulf of California
			
23-17 Ma	Anadara (Anadara) lakei (Wiedey)	Arca lakei Wiedey	Subgenus, 29N-5S, through Gulf of California
			
23-13 or 5? Ma	Anadara (Anadara) montereyana (Osmont)	Anadra montereyana (Osmont)	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) montereyana (Osmont)	Arca (Anadara) devincta montereyana Osmont	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) montereyana (Osmont)	Anadara devincta var. montereyana (Osmont)	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) montereyana (Osmont)	Anadara devincta montereyana (Osmont)	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) montereyana (Osmont)	Arca montereyana Osmont	Subgenus, 29N-5S, through, 29N-5S, through Gulf of
			California
23-13 or 5? Ma	Anadara (Anadara) montereyana (Osmont)	Arca (Anadara) devincta montereyana (Osmont)	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) osmonti (Dall)	Anadara osmonti (Dall)	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) osmonti (Dall)	Arca montereyana var. barkeriana Clark?	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) osmonti (Dall)	Arca osmonti Dall	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) osmonti (Dall)	Arca (Anadara) osmonti Dall	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) osmonti (Dall)	Anadara (Anadara) osmonti(Dall)	Subgenus, 29N-5S, through Gulf of California
23-13 or 5? Ma	Anadara (Anadara) osmonti (Dall)	Arca osmonti Dall	Subgenus, 29N-5S, through Gulf of California
23-13 Ma	Anadara (Anadara) osmonti (Dall)	Arca impavida Wiedey	Subgenus, 29N-5S, through Gulf of California
N.D.	Anadara (Anadara) sp.	Arca sp.	Subgenus, 29N-5S, through Gulf of California
N.D.	Anadara (Anadara) sp.	Anadara sp.	Subgenus, 29N-5S, through Gulf of California
27-13 Ma	Anadara (Anadara) topangaensis Reinhart	Arca microdonta Conrad	Subgenus, 29N-5S, through Gulf of California
27-13 Ma	Anadara (Anadara) topangaensis Reinhart	Anadara topangensis Reinhart	Subgenus, 29N-5S, through Gulf of California
13-2.5 Ma	Anadara (Anadara) trilineata (Conrad)	Anadara trilineata (Conrad)	Subgenus, 29N-5S, through Gulf of California
13-2.5 Ma	Anadara (Anadara) trilineata (Conrad)	Arca trilineata Conrad	Subgenus, 29N-5S, through Gulf of California
13-2.5 Ma	Anadara (Anadara) trilineata (Conrad)	Anadara (Anadara) trilineata trilineata (Conrad)	Subgenus, 29N-5S, through Gulf of California
13-2.5 Ma	Anadara (Anadara) trilineata (Conrad)	Anadara (Anadara) trilineata (Conrad)	Subgenus, 29N-5S, through Gulf of California
13-2.5 Ma	Anadara (Anadara) trilineata calcarea Grant and	Anadara (Anadara) trilineata calcarea Grant and	Subgenus, 29N-5S, through Gulf of California
	Gale	Gale	
13-2.5 Ma	Anadara (Anadara) trilineata calcarea Grant and	Anadara trilineata calcarea (Grant and Gale)	Subgenus, 29N-5S, through Gulf of California
	Gale		
8-2.5 Ma	Anadara (Anadara) trilineata canalis (Conrad)	Anadara trilineata (Conrad) canalis (Conrad)	Subgenus, 29N-5S, through Gulf of California
8-2.5 Ma	Anadara (Anadara) trilineata canalis (Conrad)	Arca canalis Conrad	Subgenus, 29N-5S, through Gulf of California
8-2.5 Ma	Anadara (Anadara) trilineata canalis (Conrad)	Anadara (Anadara) trilineata canalis (Conrad)	Subgenus, 29N-5S, through Gulf of California
8-2.5 Ma	Anadara (Anadara) trilineata canalis (Conrad)	Anadara trilineata canalis (Conrad)	Subgenus, 29N-5S, through Gulf of California
N.D.	Anadara (Anadara?) sp.	Arca (Barbatia) n.sp. Loel and Corey	Subgenus, 29N-5S, through Gulf of California
27-23 Ma	Anadara (Anadara?) strongi (Loel and Corey)	Arca (Barbatia) strongi Loel and Corey	Subgenus, 29N-5S, through Gulf of California
13? Ma-H	Anadara (Rasia) formosa (Sowerby)	Anadara formosa Sowerby	28N-5S; 11 to 82 m
N.D.	Anadara sp.	Anadara sp.	Genus, 34N-5S, through Gulf of California
13-8 Ma	Anadara thauma (Maury) (Smith, 1989)	Anadara thauma (Maury)	Panamic, but not listed by Keen (1971) or Bernard -1983
			
5-2.5 Ma	Angulararca californiensis Noda (Noda, 1966,	Angulararca californiensis Noda (Noda, 1966,	Genus not living
	Pl. 1)	Plate 1)	
8-5 Ma	Angulararca terminumbonis (Grant and Gale)	Angulararca terminumbonis (Grant and Gale)	Genus not living
	(Noda, 1966, Pl. 1)	(Noda, 1966, Plate 1)	
5-2.5 Ma	Anodonta kettlemanensis Arnold	Anodonta kettlemanensis Arnold	Freshwater
N.D.	Anodonta sp.	Anodonta sp.	Freshwater
13 Ma-H	Anomia peruviana d’Orbigny	Anomia limatula Dall	37N-5S; on shells and rocks along open coast,
			intertidal to 120 m
13 Ma-H	Anomia peruviana d’Orbigny	Anomia peruviana d’Orbigny	36.6N-5.1S
N.D.	Anomia sp.	Anomia sp.	Genus, 37N-south of equator; intertidal to 120 m, on
			rocks or shells
13-8 Ma	Anomia subcostata Conrad	Anomia subcostata Conrad	Genus, 37N-south of equator
27-23 Ma	Anomia vaquerosensis Loel and Corey	Anomia vaquerosensis Loel and Corey	Genus, 37N-south of equator
N.D.	Anomia? sp.	Anomia? sp.	Genus, 37N-south of equator
8-5 Ma	Antipecten? praevalidus (Jordan and Hertlein) 8-	Leptopecten praevalidus (Jordan and Hertlein)	Genus not living
	5 Ma		
8-5 Ma	Antipecten? praevalidus (Jordan and Hertlein) 8-	Pecten (Leptopecten) praevalidus Jordan and	Genus not living
	5 Ma	Hertlein	
8 Ma-H	Antiplanes perversa (Gabb)	Antiplanes perversa (Gabb)	55N-30N; genus, 55 to 1460 m
8 Ma-H	Antiplanes perversa (Gabb)	Rectiplanes rotula (Dall)	55N-30N
8 Ma-H	Antiplanes perversa (Gabb)	Spirotropis perversa (Gabb)	55N-30N
			
8 Ma-H	Antiplanes perversa (Gabb)	Pleurotoma perversa (Gabb)	55N-30N
8 Ma-H	Antiplanes perversa (Gabb)	Turris perversa (Gabb)	55N-30N
8 Ma-H	Antiplanes perversa (Gabb)	Turris perversa Gabb	55N-30N
N.D.	Antiplanes sp.	Antiplanes sp.	Genus, 59N-30N
5-2.5 Ma	Antiplanes voyi (Gabb)	Antiplanes voyi (Gabb)	Genus, 59N-30N
5 Ma-H	Arbacia incisa (A. Agassiz)	Arbacia incisa A. Agassiz (Echinodermata)	28N-3S
13-8 Ma	Arca (Arca) leptogrammica Hall	Arca leptogrammica Hall	Subgenus, 28N-5S, through Gulf of California
13 Ma-H	Arca (Arca) mutabilis (Sowerby)	Arca (Arca) mutabilis (Sowerby)	25N-2S, Gulf of California; intertidal, under rocks to
			82 m
13 Ma-H	Arca (Arca) pacifica (Sowerby)	Arca (Arca) pacifica (Sowerby)	28N-5S, Gulf of California; intertidal, under rocks to
			137 m
8-2.5 Ma	Arca (Arca) santamariensis Reinhart	Arca santamariensis Reinhart	Subgenus, 28N-5S, through Gulf of California;
			intertidal to 137 m
5-2.5 Ma	Arca (Arca) sisquocensis Reinhart	Arca sisquocensis Reinhart	Subgenus, 28N-5S, through Gulf of California
5-2.5 Ma	Arca (Arca) sisquocensis Reinhart	Arca (Arca) sisquocensis Reinhart	Subgenus, 28N-5S, through Gulf of California
N.D.	Arca (Arca) sp.	Navicula sp.	Subgenus, 28N-5S, through Gulf of California
N.D.	Arca (Arca) sp.	Arca (Arca s.s.) n.sp. (large)	Subgenus, 28N-5S, through Gulf of California
8-5 Ma	Arca (Arca) terminumbonis Grant and Gale	Arca terminubonis Grant and Gale	Subgenus, 28N-5S, through Gulf of California
N.D.	Arca sp.	Arca sp.	Genus, 28N-5S, through Gulf of California
8-5 Ma	Archaeopneustes moorefieldi Hall	Archaeopneustes moorefieldi Hall	Genus, West Indies near 23N, 38 m to 599 m
		(Echinodermata)	
23-13 Ma	Architectonica compressa Wiedey	Architectonica compressa Wiedey	Genus, 25N-5S, through Gulf of California; tideflats to
			37 m
13 Ma-H	Architectonica nobilis Bolten	Architectonica nobilis Bolten var. discus Grant	25N-5S, through Gulf of California; tideflats
		and Gale	to 37 m
13 Ma-H	Architectonica nobilis Bolten	Architectonica quadriceps Hinds	25N-5S, through Gulf of California
N.D.	Architectonica sp.	Architectonica sp.	Genus, 25N-5S, through Gulf of California
N.D.	Archohelia sp.	Archohelia sp. (Cnidaria)	Genus not living, Eocene-Miocene
13 Ma-H	Arcinella californica (Dall)	Echinochama californica Dall	28N-6N; 22 to 46 m
13-8 Ma	Arcopsis adamsi conradiana (Dall) (? 4	Arcopsis adamsi (Dall)	Species 35N-26N, Atlantic; 45 to 95 m. If A. solida,
	Arcopsis solida [Sowerby])		33N to 9S; to 5 m
13-8 Ma	Arene stephensoni Schremp	Arene stephensoni Schremp	Genus, 24N and Gulf of California-0; intertidal to 91 m
			
5-2.5 Ma	Argopecten abieties (Jordan and Hertlein)	Argopecten abieties (Jordan and Hertlein)	Genus, 34N-6S; 1 m to 135 m; bays, sand or mud,
5-2.5 Ma			below low tide
5-1 Ma	Argopecten abietis abbotti (Hertlein and Grant)	Chlamys (Argopecten) abietis abbotti Hertlein	Genus, 34N-6S
5-1 Ma		and Grant	
8-1 Ma	Argopecten callidus (Hertlein) 8-1 Ma	Chlamys (Argopecten) callida Hertlein	Genus, 34N-6S
8-1 Ma	Argopecten callidus (Hertlein) 8-1 Ma	Pecten (Plagioctenium) callidus Hertlein	Genus, 34N-6S
8-1 Ma	Argopecten callidus (Hertlein) 8-1 Ma	Argopecten callidus (Hertlein)	Genus, 34N-6S
8-2.5 Ma	Argopecten cristobalensis (Hertlein) 8-2.5 Ma	Pecten (Plagioctenium) cristobalensis Hertlein	Genus, 34N-6S
8-2.5 Ma	Argopecten cristobalensis (Hertlein) 8-2.5 Ma	Argopecten cristobalensis (Hertlein)	Genus, 34N-6S
13-2.5 Ma	Argopecten deserti (Conrad) 13-2.5 Ma	Pecten (Plagioctenium) deserti Conrad	Genus, 34N-6S
13-2.5 Ma	Argopecten deserti (Conrad) 13-2.5 Ma	Pecten deserti Conrad	Genus, 34N-6S
5-2.5 Ma	Argopecten ericellus (Hertlein) 5-2.5 Ma	Chlamys (Argopecten) ericellus Hertlein	Genus, 34N-6S
8-2.5 Ma	Argopecten hakei (Hertlein) 8-2.5 Ma	Chlamys (Argopecten) hakei Hertlein	Genus, 34N-6S
8-2.5 Ma	Argopecten hakei (Hertlein) 8-2.5 Ma	Argopecten hakei (Hertlein)	Genus, 34N-6S
8-2.5 Ma	Argopecten hakei (Hertlein) 8-2.5 Ma	Pecten (Plagioctenium) hakei Hertlein	Genus, 34N-6S
8-1 Ma	Argopecten invalidus (Hanna) 8-1 Ma	Aequipecten invalidus (Hanna)	Genus, 34N-6S
			
8-1 Ma	Argopecten invalidus (Hanna) 8-1 Ma	Chlamys (Argopecten) invalida Hanna	Genus, 34N-6S
8-1 Ma	Argopecten invalidus (Hanna) 8-1 Ma	Pecten (Plagioctenium) invalidus G.D. Hanna	Genus, 34N-6S
8-1 Ma	Argopecten invalidus (Hanna) 8-1 Ma	Pecten invalidus Hanna	Genus, 34N-6S
13-1 Ma	Argopecten mendenhalli (Arnold) 13-1 Ma	Argopecten mendenhalli (Arnold)	Genus, 34N-6S
13-1 Ma	Argopecten mendenhalli (Arnold) 13-1 Ma	Pecten (Plagioctenium) mendenhalli Arnold	Genus, 34N-6S
13-1 Ma	Argopecten mendenhalli (Arnold) 13-1 Ma	Pecten (Plagoctenium) cerrosensis var.	Genus, 34N-6S
		mendenhalli Arnold	
13-1 Ma	Argopecten mendenhalli (Arnold) 13-1 Ma	Pecten mendenhalli Arnold	Genus, 34N-6S
13-1 Ma	Argopecten mendenhalli (Arnold) 13-1 Ma	Pecten sp. nov. aff. P. mendenhalli Arnold	Genus, 34N-6S
8-2.5 Ma	Argopecten percarus (Hertlein) 8-2.5 Ma	Argopecten percarus (Hertlein)	Genus, 34N-6S
8-2.5 Ma	Argopecten percarus (Hertlein) 8-2.5 Ma	Pecten (Aequipecten) percarus Hertlein	Genus, 34N-6S
5 Ma-H	Argopecten purpuratus (Lamarck) 5 Ma-	Pecten purpuratus Lamarck	30N-6S
	Holocene		
N.D.	Argopecten sp.	Aequipecten sp.	Genus, 34N-6S
N.D.	Argopecten sp.	Argopecten sp.	Genus, 34N-6S
23? or 8-1.6 Ma	Argopecten subdolus (Hertlein) 23?, or 8 or 6 Ma	Argopecten subdolus (Hertlein)	Genus, 34N-6S
	to 1.6 Ma		
23? or 8-1.6 Ma	Argopecten subdolus (Hertlein) 23?, or 8 or 6 Ma	Chlamys (Argopecten) subdola Hertlein	Genus, 34N-6S
	to 1.6 Ma		
23? or 8-1.6 Ma	Argopecten subdolus (Hertlein) 23?, or 8 or 6 Ma	Chlamys (Chlamys) subdola Hertlein	Genus, 34N-6S
	to 1.6 Ma		
23? or 8-1.6 Ma	Argopecten subdolus (Hertlein) 23?, or 8 or 6 Ma	Pecten (Argopecten) subdolus Hertlein	Genus, 34N-6S
	to 1.6 Ma		
23? or 8-1.6 Ma	Argopecten subdolus (Hertlein) 23?, or 8 or 6 Ma	Pecten (Plagioctenium) subdolus Hertlein	Genus, 34N-6S
	to 1.6 Ma		
13-8 Ma	Argopecten sverdrupi (Durham) 13-8 Ma	Aequipecten sverdrupi Durham	Genus, 34N-6S
13-8 Ma	Argopecten sverdrupi (Durham) 13-8 Ma	Argopecten sverdrupi (Durham)	Genus, 34N-6S
8 Ma-H	Argopecten ventricosus (Sowerby) 8 Ma-	Aequipecten circularis (Sowerby)	34.4N-5.1S; 1 to 55 or 135 m
	Holocene		
